pert_id	SMILES
BRD-A15798299	CC[C@@H]1[C@@]2([C@@H]([C@@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C
BRD-A16332958	C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
BRD-A16444946	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
BRD-A16478930	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6
BRD-A16665823	C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-]
BRD-A16700644	CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
BRD-A16746338	COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
BRD-A16754160	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C
BRD-A16934955	C1CC(C1)CN2CCC34C5C(CCC3(C2CC6=C4C(=C(C=C6)O)O5)O)O
BRD-A17448384	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C
BRD-A17655518	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
BRD-A17828570	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
BRD-A17883755	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
BRD-A18419789	CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
BRD-A18620900	CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
BRD-A18917088	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
BRD-A18929998	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
BRD-A19195498	CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
BRD-A19633847	C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
BRD-A19661776	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
BRD-A19736161	CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
BRD-A20119038	CC1(C2CCC(C2)C1(C)NC)C
BRD-A20126139	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C
BRD-A20239487	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
BRD-A20243730	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5
BRD-A20794617	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
BRD-A21490874	CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F
BRD-A21858158	C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
BRD-A22032524	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.C1=CC=C(C=C1)S(=O)(=O)O
BRD-A22143024	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
BRD-A22256192	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC
BRD-A22380646	COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
BRD-A22740840	CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)[O-])C(=O)N)N(C)C)O)O.CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)[O-])C(=O)N)N(C)C)O)O.[Ca+2]
BRD-A22783572	CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
BRD-A22844106	CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O
BRD-A23034328	CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl
BRD-A23290232	CCCCC(=O)O[C@@]1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO
BRD-A23359898	CC(C)CC(C1(CCC1)C2=CC=C(C=C2)Cl)N(C)C
BRD-A23637604	CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C
BRD-A23712469	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4
BRD-A23723433	CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
BRD-A23770159	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
BRD-A23801136	CCC(C)N1CCC2(CC1)NC3=C4NC(=O)C(=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@H](C)[C@@H](OC)C=CO[C@@]5(C)Oc6c(C5=O)c(C3=N2)c(C4=O)c(O)c6C)C
